"Id","Salary"
72629919,31677.5551929178
72629930,38780.6320429292
72629937,38780.6320429292
72629938,31481.8819564598
72629944,28472.723244466
72629946,36487.1655571521
72629948,38780.6320429292
72629949,28472.723244466
72629954,38780.6320429292
72629956,31496.8380869258
72629957,38780.6320429292
72629959,22296.5265159128
72629960,35735.1883453056
72629964,37750.6756780677
72629975,24438.0319343502
72629978,29194.558409983
72629982,38780.6320429292
72629993,39158.9395408655
72630000,31545.2268007095
72630007,31677.5551929178
72630009,23090.7007327731
72630010,29838.7842102641
72630011,30478.7838854931
72630049,35502.6693671745
72630052,30478.7838854931
72630055,31250.6446790934
72630057,31496.6642853269
72630060,30478.7838854931
72630061,34548.998346149
72630063,31677.5551929178
72630066,22602.8876942905
72630071,24023.7361281441
72630078,32957.5631309991
72630085,31044.4921766532
72630087,32959.5736399842
72630098,24023.7361281441
72630099,30523.1006695982
72630109,32957.5631309991
72630116,30696.7235105137
72630123,61347.5882914459
72630124,24258.0891808653
72630131,40741.2508383725
72630133,42359.3511530999
72630135,24023.7361281441
72630142,42836.6346502944
72630149,24023.7361281441
72630161,32984.1625296433
72630353,39472.6729985417
72630356,32957.5631309991
72630360,32957.5631309991
72630363,20786.2741080963
72630365,22315.9670135043
72630370,32957.5631309991
72630374,20362.9316434928
72630379,22161.1185559353
72630385,32957.5631309991
72630387,27120.9839864849
72630391,27562.2321757161
72630392,27562.2321757161
72630401,19040.1490833385
72630404,31044.4921766532
72630406,32957.5631309991
72630412,22952.7302864533
72630416,28675.5579569947
72630426,27562.2321757161
72630427,25459.02125509
72630444,20250.4373281739
72630456,40347.6569145285
72630472,38780.6320429292
72630475,22315.9670135043
72630477,32957.5631309991
72630479,20613.0865926476
72630480,27545.6252245472
72630489,30912.9225335224
72630490,26878.9548177678
72630491,27562.2321757161
72630493,30912.9225335224
72630517,32957.5631309991
72630520,31044.4921766532
72630522,22315.9670135043
72630523,34990.6586594936
72630530,23099.1581994802
72630534,22315.9670135043
72630536,26259.5665579016
72630539,39443.2470823906
72630559,27562.2321757161
72630564,32959.5736399842
72630566,29074.8355132614
72630570,39809.1952292017
72630580,41698.9568409571
72630587,32957.5631309991
72630589,29262.4989936553
72630595,31719.895947496
72630600,34990.6586594936
72630602,32769.5437149391
72630610,31862.8769586169
72630612,21499.6520658753
72630622,35520.5456144019
72630627,32957.5631309991
72630629,29736.4479375085
72630649,21619.0859625142
72630651,32957.5631309991
72630653,35520.5456144019
72630654,25459.02125509
72630660,32957.5631309991
72630663,31044.4921766532
72630665,28697.7484858415
72630679,34990.6586594936
72630680,31044.4921766532
72630681,33609.7447072813
72630685,27562.2321757161
72630691,32957.5631309991
72630698,35520.5456144019
72630700,20362.9316434928
72630702,27562.2321757161
72630704,27540.0614981454
72630708,29074.8355132614
72630711,30850.8473969079
72630713,26351.6003499073
72630722,29599.3111009285
72630723,32957.5631309991
72630724,26686.7998101849
72630725,30912.9225335224
72630726,31044.4921766532
72630727,27120.9839864849
72630728,22315.9670135043
72630733,34990.6586594936
72630753,32957.5631309991
72630754,20613.0865926476
72630761,28554.0280925179
72630764,23612.8967841848
72630772,25459.02125509
72630782,31044.4921766532
72630784,32957.5631309991
72630786,40347.6569145285
72630787,22315.9670135043
72630800,28333.0627073613
72630808,31044.4921766532
72630818,37108.0137355656
72630821,27562.2321757161
72630823,34992.7931933287
72630824,32957.5631309991
72630830,31719.895947496
72630846,40347.6569145285
72630851,40347.6569145285
72630854,35520.5456144019
72630857,32957.5631309991
72630860,35520.5456144019
72630878,31044.4921766532
72630891,22315.9670135043
72630897,32957.5631309991
72630901,32957.5631309991
72630904,32957.5631309991
72630929,22315.9670135043
72630931,34992.7931933287
72630933,22315.9670135043
72630940,32969.4019979713
72630947,17587.238839091
72630949,31044.4921766532
72630953,31352.7790582708
